"uri","did","subject","created_at"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3khrrawq5xe2r","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:2y3klf5ammxwcwc6a54ykuq7","2023-12-30T17:51:52.826Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehape2fw2e","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:wwcxouqlzogxvfnruzoscwo5","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kj55rzmn3j2n","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:w342borqxtyo2pul67ec2pwt","2024-01-17T00:00:39.870Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapfebm26","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:nicszquuodcad4u6yhq5lls7","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapfb6y2k","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:a6ek4p7pxrbngygz2fqw7pvs","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3key6p2n5db2o","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:jfhpnnst6flqway4eaeqzj2a","2023-11-25T02:52:48.881Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapeyrd2q","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:zz4jydzahd77polidgqjv5ug","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapfzse27","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:gt6owwulmj2enkfuiysqmg23","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgehapevta2r","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:yzui25i6agvyajokmenrcfht","2023-12-12T17:22:59.355Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kgwqlievct2e","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:odo2zkpujsgcxtz7ph24djkj","2023-12-19T23:58:00.018Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3k7mmjquege2p","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:fpruhuo22xkm5o7ttr2ktxdo","2023-09-17T21:22:28.148Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3k5flasepaf2w","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:w4dzg6tdavlznotnfa2vth6p","2023-08-20T15:20:32.478Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3key6j7pi7z2w","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:oqjogv4jxkpjaqwdzarfvsoa","2023-11-25T02:49:32.886Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kld4e5elsc2q","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:bncmni3cgbtg5e44ma6q5kow","2024-02-13T19:41:21.917Z"
"at://did:plc:snjxvu5fmqeyto5dqlwxjwgq/app.bsky.graph.follow/3kld3jfhza223","did:plc:snjxvu5fmqeyto5dqlwxjwgq","did:plc:mul6fsf64prbtvxlrglptioz","2024-02-13T19:26:24.431Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k6g5mqo3pb24","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:qmhjhkooj75rkju4kr4i6o4f","2023-09-02T14:14:33.086Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k5byysizqe23","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:gjnhmlyccp6us7agfxp2kvif","2023-08-19T05:15:57.117Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k525lfmtf42r","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:dd4m4smumhrbxsyjiyudw37a","2023-08-16T02:16:35.525Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k5ehymo6ur2a","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:y3aetugm4qbvcc76mclt7mn7","2023-08-20T04:49:37.189Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k5oce3t5ok22","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:xms6imovt7srw66xclpasnov","2023-08-24T02:35:19.711Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k5djohklj52w","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:igtwufvmpc4c6r32q6yv3mrp","2023-08-19T19:47:03.196Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k4yhcclzq52u","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:dlp3sxgzymfioul4jx6vwboq","2023-08-15T10:05:08.435Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k6ccovpyha26","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:nx4erf2svcbpoz23b7hrqxme","2023-09-01T01:34:34.532Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k6kocvlkve2q","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:vbz2iz7skhpfwqoyddqipu3t","2023-09-04T09:23:54.481Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k6lcy6ktbq2x","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:s24o3i2gmddihekekk6tu6ac","2023-09-04T15:33:42.922Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k5delgg4ak2o","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:unkqxy3fxjckrxrqstopn3qb","2023-08-19T18:15:52.651Z"
"at://did:plc:azrmmwkhztgcsx67h4uovdez/app.bsky.graph.follow/3k4ygy4o5yi2d","did:plc:azrmmwkhztgcsx67h4uovdez","did:plc:d4d74fx2qbsfmmkxca24w76p","2023-08-15T09:59:26.671Z"
